Role,Company Name,Location,Post Date
Datastage Developer+ ADF developer- with Canada based product-service company- Pune,Seventh Contact Hiring Solutions,"Pune, Maharashtra, India",8 hours ago
Lead Generation Executive,Demand Infotech Solutions,"Pune, Maharashtra, India",2 months ago
Sr Data Platform Architect,Workday,"Pune, Maharashtra, India",10 hours ago
Analytics Data Engineer (Cloud Data),Air Products India,"Pune, Maharashtra, India",1 month ago
SAP BW Analyst,Antal International,"Pune, Maharashtra, India",2 months ago
Celonis Process Mining Engineer,Tietoevry,"Pune, Maharashtra, India",1 day ago
Job Openings on SAP Celonis,ESSENWARE PRIVATE LIMITED,Pune/Pimpri-Chinchwad Area,2 months ago
Associate - Data Engineer,TIAA,"Pune, Maharashtra, India",4 hours ago
"SAP IT Analyst, Analytics",Avient Corporation,"Pune, Maharashtra, India",2 weeks ago
DataBricks Lead,Hexaware Technologies,"Pune, Maharashtra, India",1 week ago
Data Engineer,Vanderlande,"Pune, Maharashtra, India",1 week ago
Assistant Manager_Senior Engineer_Hadoop Admin_D&A_Pune,_VOIS,"Pune, Maharashtra, India",3 weeks ago
Conversation Designer Google DialogFlow,Econolytics,"Pune, Maharashtra, India",1 month ago
Analytics Engineer,MSD,"Pune, Maharashtra, India",1 month ago
CIEL/SEL/25732: Purchase Executive,CIEL HR,"Pune, Maharashtra, India",2 days ago
Lead Generation Specialist,AV IT Business Solution Pvt. Ltd. | AVITBS,"Pune, Maharashtra, India",11 hours ago
BIG DATA ( ANALYTICS AND DATA SCIENCE ) - BIG DATA - SNOWFLAKE,Zensar Technologies,"Pune, Maharashtra, India",2 weeks ago
Deputy Manager_Assistant Lead-BIBDA_GCP Data Ops_Pune,_VOIS,"Pune, Maharashtra, India",2 months ago
Associate Lead Data Scientist(JR00094543),Bajaj Finserv,"Pune, Maharashtra, India",1 month ago
Database Developer,Arya Omnitalk Wireless Solutions Private Limited,"Pune, Maharashtra, India",1 month ago
Associate - Datastage Snowflake,TIAA,"Pune, Maharashtra, India",4 hours ago
Lead Generation Specialist,AV IT Business Solution Pvt. Ltd. | AVITBS,"Pune, Maharashtra, India",2 months ago
BI Developer,Tricentis,"Pune, Maharashtra, India",1 month ago
Deputy Manager,_VOIS,"Pune, Maharashtra, India",21 hours ago
Python Developer,Barclays,"Pune, Maharashtra, India",1 week ago
Snowflake,Tata Consultancy Services,"Pune, Maharashtra, India",3 weeks ago
Lead Data Scientist,codvo.ai,"Pune, Maharashtra, India",2 months ago
Data Engineer - Python/AWS,e-Hireo Global Solutions,"Pune, Maharashtra, India",3 weeks ago
Deputy Manager,_VOIS,"Pune, Maharashtra, India",2 months ago
Plant Finance and Accounts Manager,Keysite Solutions,"Pune, Maharashtra, India",1 month ago
ETL Support,Kavayah People Consulting Pvt. Ltd.,"Pune, Maharashtra, India",2 months ago
Manager - Plant Finance and Accounts - Factory/Plant,Keysite Solutions,"Pune, Maharashtra, India",1 month ago
Lead Generation,Metapercept Technology Services,"Pune, Maharashtra, India",1 day ago
Assistant Manager - Assurance - CHS - Audit Services - Pune,EY,"Pune, Maharashtra, India",7 hours ago
"MLE | 10 to 14 yrs | Noida, Chennai & Pune",Capgemini,"Pune, Maharashtra, India",2 weeks ago
Lead Generation Specialist,AV IT Business Solution Pvt. Ltd. | AVITBS,"Pune, Maharashtra, India",4 days ago
Assistant Manager - PL - Prime - T1(JR00104768),Bajaj Finserv,"Pune, Maharashtra, India",1 month ago
Machine Learning Engineer,Zycus,"Pune, Maharashtra, India",2 months ago
AI functional Tester,Michelin,"Pune, Maharashtra, India",16 hours ago
BFSI - Data Science - NLP / Computer vision - Pune,Michael Page,"Pune, Maharashtra, India",1 month ago
Data Engineer - Python/SQL/Spark,Job Delights Consultancy,"Pune, Maharashtra, India",1 month ago
Manager - Forecasting Advanced Analytics – Data Science,MSD,"Pune, Maharashtra, India",1 month ago
"Deputy Manager, Data Science",Concentrix,"Pune, Maharashtra, India",1 week ago
ECS ME - Data Scientist - NLP/NLU,ECS | Enterprise Change Specialists,"Pune, Maharashtra, India",1 month ago
Data Engineer,Kavayah People Consulting Pvt. Ltd.,"Pune, Maharashtra, India",1 month ago
Big Data Engineer,IDESLABS PRIVATE LIMITED,Pune/Pimpri-Chinchwad Area,3 months ago
Lead Data Scientist - Computer Vision,Michelin,"Pune, Maharashtra, India",16 hours ago
Assistant Manager_Senior Engineer _Python + AWS Developer _ D&A _ Pune,_VOIS,"Pune, Maharashtra, India",4 days ago
AM- Analytics-ANA006716,Genpact,"Pune, Maharashtra, India",1 week ago
Snowflake Architect,Tiger Analytics,"Pune, Maharashtra, India",2 days ago
Data Engineering - Senior Software Developer (BI),Jet2 Travel Technologies Pvt Ltd.,"Pune, Maharashtra, India",1 day ago
Formula & Regulatory Specialist,The Coca-Cola Company,"Pune, Maharashtra, India",6 days ago
Data Engineer,Principal Global Services,"Pune, Maharashtra, India",4 days ago
AI functional tester,Michelin,"Pune, Maharashtra, India",16 hours ago
Manager - PL - Prime - T1(JR00112535),Bajaj Finserv,"Pune, Maharashtra, India",2 weeks ago
Data Science Engineer/Senior Data Science Engineer(JR00089539),Bajaj Finserv,"Pune, Maharashtra, India",1 month ago
Lead Data Analyst,Principal Global Services,"Pune, Maharashtra, India",1 week ago
Technical Architect - Data & Analytics,Johnson Controls,"Pune, Maharashtra, India",3 days ago
Business Analytics Internship in Pune at PCPL,PCPL,"Pune, Maharashtra, India",1 week ago
Senior Business Intelligence Analyst,Wolters Kluwer,"Pune, Maharashtra, India",2 weeks ago
Manager - 3in1(JR00106249),Bajaj Finserv,"Pune, Maharashtra, India",1 month ago
CIEL/SEL/24655: Sr Data Analyst,CIEL HR,"Pune, Maharashtra, India",2 days ago
Analyst Master Data,AkzoNobel,"Pune, Maharashtra, India",4 days ago
Production Engineer,Barclays,"Pune, Maharashtra, India",2 months ago
Sr. Business Intelligence / Data Warehouse Consultant,Pentagon Consultancy Services,"Pune, Maharashtra, India",1 month ago
Senior Analyst- BI,Eaton,"Pune, Maharashtra, India",2 days ago
Ld. Data Mgmt Anlyst,BNY Mellon,"Pune, Maharashtra, India",3 months ago
Senior Data Architect,Faurecia,"Pune, Maharashtra, India",1 month ago
Sr System Reliability Engineer (Big Data),Fulcrum Digital Inc,"Pune, Maharashtra, India",2 weeks ago
Senior Operations Consultant,Mindpool Technologies Inc,"Pune, Maharashtra, India",2 months ago
Manager - PL - Prime - T1(JR00112540),Bajaj Finserv,"Pune, Maharashtra, India",2 weeks ago
Sr. Data Scientist,JobDost,"Pune, Maharashtra, India",2 months ago
SDE III Machine Learning,Mindtickle,"Pune, Maharashtra, India",2 weeks ago
Data Engineer,Workday,"Pune, Maharashtra, India",3 months ago
Manager - Analytics-ANA006715,Genpact,"Pune, Maharashtra, India",1 week ago
Data Engineer,Alp Consulting Ltd.,"Pune, Maharashtra, India",2 months ago
Big Data Architect,Milestone Hr Consultancy,"Pune, Maharashtra, India",1 month ago
"Principal, Technology Risk Management",BNY Mellon,"Pune, Maharashtra, India",2 days ago
Solytics Partners - Senior Quantitative Analyst - Market Risk/Pricing Model/FRTB Quants,Solytics Partners,"Pune, Maharashtra, India",1 month ago
Senior Data Engineer,Stratacent,"Pune, Maharashtra, India",1 month ago
Digital Marketing Trainee,GameCloud Technologies Pvt Ltd,"Pune, Maharashtra, India",1 month ago
Database Developer,Programmers.io,"Pune, Maharashtra, India",1 week ago
Data Engineer (Third Party and Integration),KNOREX,"Pune, Maharashtra, India",1 month ago
Pimcore Developer - MDM/Data Modeling,Nerd Geek Lab,"Pune, Maharashtra, India",2 months ago
Technical Manager-Data Scientist-India,Globant,"Khed, Maharashtra, India",2 weeks ago
CIEL/SEL/21245: Data Engineer,CIEL HR,"Pune, Maharashtra, India",2 days ago
Assistant Manager - PL - Prime - T1(JR00108181),Bajaj Finserv,"Pune, Maharashtra, India",1 month ago
Senior Technical Support Engineering,Privacera,"Pune, Maharashtra, India",2 months ago
Senior Data Scientist Consultant (Part-Time),codvo.ai,"Pune, Maharashtra, India",2 months ago
Big Data Engineer/ Lead/ Associate Architect.,Intuitive Apps Inc.,"Pune, Maharashtra, India",4 months ago
Data Scientist,SS Supply Chain Solutions Pvt. Ltd.,"Pune, Maharashtra, India",1 month ago
"Principal, Technology Risk Management",BNY Mellon,"Pune, Maharashtra, India",1 day ago
AI functional Tester,Michelin,"Pune, Maharashtra, India",12 hours ago
Lead Data Scientist,BNY Mellon,"Pune, Maharashtra, India",2 months ago
Principal Processor Performance Engineer,Mulya Technologies,"Pune, Maharashtra, India",4 hours ago
Data Associate - Quantitative Support Team,Leading Financial Services Provider,"Pune, Maharashtra, India",1 month ago
CIEL/SEL/28407: Purchase Executive,CIEL HR,"Pune, Maharashtra, India",2 days ago
Lead/Demand Generation Executive,Excelsior Research,"Pune, Maharashtra, India",2 months ago
Ecomms Business Analyst,Barclays,"Pune, Maharashtra, India",1 month ago
MDM Analyst,Techno Wise ( INDIA ),"Pune, Maharashtra, India",4 weeks ago
Senior Data Scientist (Remote),codvo.ai,"Pune, Maharashtra, India",2 months ago
Lead Generation Executives,eWay Corp,"Pune, Maharashtra, India",1 week ago
CIEL/SEL/21240: SQL Database Developer,CIEL HR,"Pune, Maharashtra, India",2 days ago
Business Intelligence analyst – GFT - Risk & Control Technology - C12 -Pune -R22097980,Citi,"Pune, Maharashtra, India",1 month ago
Interesting Job Opportunity: SarvaGram Fincare - Data Analyst - Data Modeling & Mining,SarvaGram Solutions,"Pune, Maharashtra, India",1 month ago
Lead Data Scientist(JR00093228),Bajaj Finserv,"Pune, Maharashtra, India",1 month ago
Big Data Engineer,LTIMindtree,"Pune, Maharashtra, India",1 month ago
"Associate Manager, Omnichannel Customer Analytics, Oncology",MSD,"Pune, Maharashtra, India",1 week ago
Senior Data Scientist,Abzooba,"Pune, Maharashtra, India",2 weeks ago
Solution Architect - MDM,Pivotree,"Pune, Maharashtra, India",2 weeks ago
Back-end Engineer,Avaloq,"Pune, Maharashtra, India",4 weeks ago
Data engineer,Alp Consulting Ltd.,"Pune, Maharashtra, India",2 months ago
Lead Data Scientist(JR00094542),Bajaj Finserv,"Pune, Maharashtra, India",1 month ago
CIEL/SEL/28116: Data Scientist,CIEL HR,"Pune, Maharashtra, India",2 days ago
Assistant Manager_Senior Engineer_Network Performance Engineer_Pune,_VOIS,"Pune, Maharashtra, India",1 week ago
Principal Data Scientist - Research || Pune,Michael Page,"Pune, Maharashtra, India",1 month ago
Data Steward Manufacturing,bekaert india technical center,"Pune, Maharashtra, India",1 month ago
Analyst - Marketing Operations,Qualys,"Pune, Maharashtra, India",1 week ago
"Associate Manager, Omnichannel Customer Analytics, Oncology",MSD,"Pune, Maharashtra, India",1 week ago
Senior Systems Engineer,Snowflake,"Pune, Maharashtra, India",1 week ago
Principal Systems Engineer,Altera Digital Health,"Pune, Maharashtra, India",2 months ago
AGM - IT Analytics,Vodafone Idea Limited,"Pune, Maharashtra, India",6 days ago
GCP Data Engineer,Impetus,"Pune, Maharashtra, India",1 day ago
Data Scientist,Applycup Hiring Solutions,"Pune, Maharashtra, India",1 month ago
"Manager, Omnichannel Customer Analytics, Oncology",MSD,"Pune, Maharashtra, India",1 week ago
Microsoft Analytics,Alp Consulting Ltd.,"Pune, Maharashtra, India",2 months ago
Senior Data Analyst(JR00107792),Bajaj Finserv,"Pune, Maharashtra, India",1 month ago
Jobs for Data Scientist - Machine Learning - BFS (6-12 yrs),Maven Workforce Inc.,"Pune, Maharashtra, India",1 month ago
Area Manager - PL - Prime - T1/Senior Area Manager - PL - Prime - T1(JR00112538),Bajaj Finserv,"Pune, Maharashtra, India",2 weeks ago
Senior Leader - Quant Strategy - Investment Bank,Shine.com,"Pune, Maharashtra, India",1 month ago
Big Data Test Engineer(Manual),Talent Folks,"Pune, Maharashtra, India",1 month ago
Deputy Manager,_VOIS,"Pune, Maharashtra, India",21 hours ago
Associate Manager - Data Science (NLP),MSD,"Pune, Maharashtra, India",1 day ago
EY - GDS Consulting - Data Analytics - Data Modelliing - Senior,EY,"Pune, Maharashtra, India",2 weeks ago
Azure Data Engineer-ADF,Fragma Data Systems,"Pune, Maharashtra, India",1 month ago
Azure Data Engineer,Fragma Data Systems,"Pune, Maharashtra, India",1 month ago
Lead Data Scientist,BNY Mellon,"Pune, Maharashtra, India",3 weeks ago
Analyst – Steel Costs and Emissions,CRU,"Pune, Maharashtra, India",1 day ago
Regional Manager - PL - Prime - T1/Senior Regional Manager - PL - Prime - T1(JR00112539),Bajaj Finserv,"Pune, Maharashtra, India",2 weeks ago
Principal IT Applications Specialist - Data Warehouse DWH/ETL/ODI,Veritas Technologies LLC,"Pune, Maharashtra, India",11 hours ago
Azure Data Engineer,Diverse Lynx,"Pune, Maharashtra, India",2 days ago
Data Quality Senior Analyst-Pune-AVP C12 (R23016378),Citi,"Pune, Maharashtra, India",2 weeks ago
Test Engineer,Barclays,"Pune, Maharashtra, India",3 weeks ago
Sr Data Engineer,Veritas Technologies LLC,"Pune, Maharashtra, India",1 day ago
Urgent hiring for Network Data Engineer for Tech M for Hyderabad and Pune for full time,ESSENWARE PRIVATE LIMITED,Pune/Pimpri-Chinchwad Area,2 weeks ago
SDET,Talent Folks,"Pune, Maharashtra, India",1 day ago
Senior Machine Learning Engineer,Fusemachines,"Pune, Maharashtra, India",3 weeks ago
Senior Marketing Data Analyst,Springer Nature Technology and Publishing Solutions,"Pune, Maharashtra, India",1 month ago
Lead Generation Specialist,PDV Technocrats,"Pune, Maharashtra, India",3 hours ago
Lead - Advance Analytics/Senior Lead - Advance Analytics(JR00061776),Bajaj Finserv,"Pune, Maharashtra, India",1 month ago
AVP - Fraud Analytics - Bank,SERVING SKILL,"Pune, Maharashtra, India",1 month ago
Lead Azure Data Engineer,TopGear Consultants Pvt Ltd,"Pune, Maharashtra, India",1 month ago
Cluster Manager - PL - Prime - T1(JR00112690),Bajaj Finserv,"Pune, Maharashtra, India",2 weeks ago
Interesting Job Opportunity: Senior Supervisor/Manager - Computer Vision/Computer Vision,ExoTalent Consultancy Services LLP,"Pune, Maharashtra, India",2 days ago
Marketing & Communication Manager,Hyatt Regency,"Pune, Maharashtra, India",1 week ago
Project Engr II,Honeywell,"Pune, Maharashtra, India",7 hours ago
Global Procurement Analyst,Bekaert,"Pune, Maharashtra, India",1 week ago
Hiring For Data Scientist,Garima Interprises,"Pune, Maharashtra, India",1 month ago
DGM - Central Analytics (CXX/NPS/TNPS),Vodafone Idea Limited,"Pune, Maharashtra, India",1 week ago
Practice Head - Data Management,Kelly Outsourcing and Consulting Group India Private Limited,"Pune, Maharashtra, India",2 weeks ago
Team Lead-Apache Hive,Infogain,"Pune, Maharashtra, India",1 week ago
Global Solution Director,NTT DATA Services,"Pune, Maharashtra, India",1 month ago
"GFT Data Services- ETL Tester/Datawarehouse, SQL, Unix – Pune- Officer/C11 (R23016381)",Citi,"Pune, Maharashtra, India",2 weeks ago
"Manager_Lead_NLP,NLU,ML Engineer_Pune",_VOIS,"Pune, Maharashtra, India",2 weeks ago
Data Engineer (3-5 years),Plural Technology,"Pune, Maharashtra, India",1 month ago
"Specialist, Data Management Engineer",BNY Mellon,"Pune, Maharashtra, India",1 month ago
Principal PP&C Analyst (Data governance principal),Honeywell,"Pune, Maharashtra, India",1 day ago
Data Engineer - Python/Scala,Goprac,"Pune, Maharashtra, India",1 week ago
"GFT Data Services- ETL Tester/Datawarehouse, SQL, Unix – Pune- Officer/C11 (R23016387)",Citi,"Pune, Maharashtra, India",2 weeks ago
Lead Data Engineer,SarvaGram,"Pune, Maharashtra, India",1 day ago
Unit Manager - Payments - Data Science/Senior Unit Manager - Payments - Data Science(JR00112787),Bajaj Finserv,"Pune, Maharashtra, India",1 week ago
Assistant Manager - PL - Prime - T2(JR00108206),Bajaj Finserv,"Pune, Maharashtra, India",1 month ago
Big Data Developer,InfoCepts,"Pune, Maharashtra, India",1 month ago
BigData & pySpark Developer-Pune-C11(CTS-03032023-R23009462),Citi,"Pune, Maharashtra, India",2 weeks ago
Azure Data Engineer - C#/.Net,Appcino Technologies | Part of Xebia,"Pune, Maharashtra, India",6 hours ago
"Specialist, Data Scientist",BNY Mellon,"Pune, Maharashtra, India",1 month ago
Senior Data Engineer,Roche,"Pune, Maharashtra, India",3 weeks ago
Data Scientist/Machine Learning Engineer - IT,Indigo Global Consultants,"Pune, Maharashtra, India",1 month ago
Metrics and Reporting Consultant,TransUnion,"Pune, Maharashtra, India",1 day ago
Lead Data Scientist,BNY Mellon,"Pune, Maharashtra, India",2 months ago
Lead Data Scientist,Eaton,"Pune, Maharashtra, India",1 month ago
"GFT Data Services- ETL Tester/Datawarehouse, SQL, Unix – Pune- Officer/C11 (R23010831)",Citi,"Pune, Maharashtra, India",1 month ago
Lead Generation Executive- Instagram,Uplers,"Pune, Maharashtra, India",11 hours ago
Offshore - Salesforce Analystics,Jade Global,"Pune, Maharashtra, India",1 week ago
developer and testing,SECRET TECHNOLOGIES INDIA (VMS GROUP),"Pune, Maharashtra, India",4 months ago
Internal Auditor,HSBC,"Pune, Maharashtra, India",1 week ago
Data Engineer (PySpark and Azure) | Contractual | Pune,Michael Page,"Pune, Maharashtra, India",1 month ago
Unit Manager - IT/Senior Unit Manager - IT(JR00100244),Bajaj Finserv,"Pune, Maharashtra, India",1 month ago
"Specialist, Data Scientist",BNY Mellon,"Pune, Maharashtra, India",1 month ago
Lead Data Engineer,Vanderlande,"Pune, Maharashtra, India",2 weeks ago
Big Data Engineer,Edu Angels India Private Limited,"Pune, Maharashtra, India",4 weeks ago
Specialized Analytics Intmd Analyst,Citi,"Pune, Maharashtra, India",1 day ago
"Principal, Data Scientist",BNY Mellon,"Pune, Maharashtra, India",1 month ago
"Senior Specialist, Data Scientist",BNY Mellon,"Pune, Maharashtra, India",1 week ago
Senior Data Scientist,codvo.ai,"Pune, Maharashtra, India",2 months ago
Splunk Engineer,Evolent Health,"Pune, Maharashtra, India",3 weeks ago
Looking for Lead Data Engineers for a Global Healthcare company,TalentOne Consulting Pvt Ltd,"Pune, Maharashtra, India",1 month ago
Lead Generation Internship in Pune at Metapercept Technology Services,Metapercept Technology Services,"Pune, Maharashtra, India",1 week ago
Associate Recruiter(Sourcing Associate)- Pune /Bhopal (Hybrid),Qween Network LLP,Pune/Pimpri-Chinchwad Area,4 months ago
EnKash - Data Engineer - R/SQL/Python,EnKash (Nehat Tech Solutions,"Pune, Maharashtra, India",4 weeks ago
Cluster Manager - Payments - Data Science/Senior Cluster Manager - Payments - Data Science(JR00111008),Bajaj Finserv,"Pune, Maharashtra, India",1 month ago
"Senior Specialist, Data Scientist",BNY Mellon,"Pune, Maharashtra, India",1 month ago
Lead - Advance Analytics/Senior Lead - Advance Analytics(JR00061774),Bajaj Finserv,"Pune, Maharashtra, India",1 month ago
"Specialist, Data Management Engineer",BNY Mellon,"Pune, Maharashtra, India",2 months ago
"Senior Specialist, Corporate Operational Risk",BNY Mellon,"Pune, Maharashtra, India",3 weeks ago
Principal IT Applications Specialist - Data Warehouse DWH/ETL/ODI,Veritas Technologies LLC,"Pune, Maharashtra, India",1 week ago
Lead Generation Specialist,Nirmitee.io,"Pune, Maharashtra, India",1 week ago
Snowflake Developer,Victrix Systems & Labs,"Pune, Maharashtra, India",1 month ago
Associate Technical Architect,ESSENWARE PRIVATE LIMITED,"Pune, Maharashtra, India",2 months ago
Lead Generation Executive,GFL Recruitment Private Limited,"Pune, Maharashtra, India",3 weeks ago
AVP - Data Visualization and Power BI - Life Sciences (8-15 yrs),TalentCo Search Pvt Ltd,"Pune, Maharashtra, India",1 month ago
Data Engineer,fluidonomics Solutions LLP,"Pune, Maharashtra, India",1 month ago
CIEL/SEL/25444: Big data Engineer,CIEL HR,"Pune, Maharashtra, India",2 days ago
Talent Intelligence Senior Advisor,bp,"Pune, Maharashtra, India",1 day ago
AVP - CCAR,Barclays,"Pune, Maharashtra, India",4 weeks ago
Cloud Architect,Applycup Hiring Solutions,"Pune, Maharashtra, India",1 month ago
IT-Sr Systems Engineer,Cadence Design Systems,"Pune, Maharashtra, India",2 days ago
Senior Data Engineer(JR00113219),Bajaj Finserv,"Pune, Maharashtra, India",1 week ago
Lead - Advance Analytics/Senior Lead - Advance Analytics(JR00061772),Bajaj Finserv,"Pune, Maharashtra, India",1 month ago
"Senior Manager_NLP,NLU, ML Engineer_Pune",_VOIS,"Pune, Maharashtra, India",2 weeks ago
Staff Processor Performance Engineer,Mulya Technologies,"Pune, Maharashtra, India",1 day ago
Senior Programmer Python and R,Predikly,"Pune, Maharashtra, India",1 month ago
CIEL/SEL/26600: Analytics CoE Lead,CIEL HR,"Pune, Maharashtra, India",2 days ago
Data Engineer - Hadoop/Big Data Technologies,Logic Planet,"Pune, Maharashtra, India",1 month ago
Big Data Developer,CGI,"Pune, Maharashtra, India",1 month ago
Cluster Manager - Rural - COE(JR00099514),Bajaj Finserv,"Pune, Maharashtra, India",1 month ago
AGM - Application Operations,Vodafone Idea Limited,"Pune, Maharashtra, India",2 weeks ago
Cluster Manager - Payments - Data Science/Senior Cluster Manager - Payments - Data Science(JR00111007),Bajaj Finserv,"Pune, Maharashtra, India",1 month ago
Data Architect,NTT DATA Services,"Pune, Maharashtra, India",1 month ago
Development Lead SQL_ETL,Barclays,"Pune, Maharashtra, India",2 weeks ago
Inside Sales Executive,DigitalEdu IT Solutions Pvt. Ltd.,"Pune, Maharashtra, India",2 months ago
Data Architect,Impetus,"Pune, Maharashtra, India",2 weeks ago
Lead - Process Mining - Consulting Firm,Mastermind Consultancy Services,"Pune, Maharashtra, India",1 month ago
"Manager, Omnichannel Customer Analytics, Oncology",MSD,"Pune, Maharashtra, India",3 weeks ago
SQL Server Developer,Barclays,"Pune, Maharashtra, India",1 week ago
Senior Software Engineer - Data Operations,DeepIntent,"Pune, Maharashtra, India",1 month ago
B2B Lead Generation,Applycup Hiring Solutions,"Pune, Maharashtra, India",1 month ago
IT Architect & Service Integrator,Siemens,"Pune, Maharashtra, India",2 days ago
Business Intelligence and Analytics Leader,CORNPACT Pvt. Ltd.,"Pune, Maharashtra, India",1 day ago
National Lead - IT(JR00112103),Bajaj Finserv,"Pune, Maharashtra, India",3 weeks ago
Automation Engineer,Barclays,"Pune, Maharashtra, India",4 weeks ago
ETL Developer,Barclays,"Pune, Maharashtra, India",1 month ago
Sr.Analyst- FPNA,Eaton,"Pune, Maharashtra, India",5 months ago
Clinical Sas Programmer,Latinum HR Solutions Pvt. Ltd.,"Pune, Maharashtra, India",1 month ago
Associate Analyst-Price Change Management,Eaton,"Pune, Maharashtra, India",1 hour ago
"Analyst II, Systems Operations",ICE,"Pune, Maharashtra, India",2 weeks ago
Pyspark Developer,Tata Consultancy Services,"Pune, Maharashtra, India",3 hours ago
L3\L2 Support Data Analyst,Citi,"Pune, Maharashtra, India",3 days ago
Application Architect: Data Platforms,IBM,"Pune, Maharashtra, India",1 day ago
Director Data Science,Kavayah People Consulting Pvt. Ltd.,"Pune, Maharashtra, India",9 months ago
Data Engineer,idealcrew services,"Pune, Maharashtra, India",1 month ago
CIEL/SEL/25681: Analytics COE Lead,CIEL HR,"Pune, Maharashtra, India",2 days ago
Developer,Barclays,"Pune, Maharashtra, India",1 month ago
CRES MI Analyst,Barclays,"Pune, Maharashtra, India",2 months ago
Sushila Parmar International - Head - Business Analyst/Business Development - Plastic Manufacturing,SPIPL,"Pune, Maharashtra, India",2 weeks ago
SAP BI + Order to Cash,LTIMindtree,"Pune, Maharashtra, India",1 month ago
Enterprise Data Developer,Barclays,"Pune, Maharashtra, India",3 weeks ago
Application Developer,Barclays,"Pune, Maharashtra, India",2 months ago
Assistant Analyst - DRF (GBS),Faurecia,"Pune, Maharashtra, India",1 month ago
Kore.AI Developer,LTIMindtree,"Pune, Maharashtra, India",1 week ago
Reports Developer ( Cognos ),American Bureau of Shipping (ABS),"Pune, Maharashtra, India",2 weeks ago
Business Finance Manager,JetSynthesys,"Pune, Maharashtra, India",3 weeks ago
Senior Manager_Lead_GBIS_Pune,_VOIS,"Pune, Maharashtra, India",2 months ago
Data Architect/Associate Vice President - Data Warehousing/Visualization,JIGSERV Digital,"Pune, Maharashtra, India",3 weeks ago
Software Services of Cloud and AI Inside Sales Lead (Remote),codvo.ai,"Pune, Maharashtra, India",1 week ago
Big Data Developer,Citi,"Pune, Maharashtra, India",1 month ago
Data Cloud Engineer & Tableau Developer,Barclays,"Pune, Maharashtra, India",1 week ago
Intern - Engineering,Eaton,"Pune, Maharashtra, India",2 days ago
Cluster Manager - Partner App/Senior Cluster Manager - Partner App(JR00111876),Bajaj Finserv,"Pune, Maharashtra, India",3 weeks ago
GM - Partner Workforce Management&Reward,Vodafone Idea Limited,"Pune, Maharashtra, India",3 weeks ago
Engineer,Deutsche Bank,"Pune, Maharashtra, India",2 months ago
Data Analysis & Interpretation Application Developer,Accenture in India,"Pune, Maharashtra, India",1 week ago
Data Analysis & Interpretation Application Developer,Accenture in India,"Pune, Maharashtra, India",1 week ago
Sr. Database Developer,AllianceBernstein,"Pune, Maharashtra, India",1 week ago
Data Engineer - Java/Scala/Spark,Cognologix Technologies,"Pune, Maharashtra, India",2 months ago
Specialist-Machine Learning Ops,Eaton,"Pune, Maharashtra, India",2 months ago
Lead Software Engineer (Big Data & GCP),EPAM Systems,"Pune, Maharashtra, India",2 days ago
"Sr. Analyst 1, Business Transformation",CrowdStrike,"Pune, Maharashtra, India",3 days ago
Senior Auditor (Data Analytics),BNY Mellon,"Pune, Maharashtra, India",1 month ago
Senior Data Engineer,Stratacent,"Pune, Maharashtra, India",3 days ago
Cluster Manager - Partner App/Senior Cluster Manager - Partner App(JR00111875),Bajaj Finserv,"Pune, Maharashtra, India",3 weeks ago
Data Engineering – Senior Software Developer,Jet2 Travel Technologies Pvt Ltd.,"Pune, Maharashtra, India",2 months ago
Internal Audit Vice President,Apex Group Ltd,"Pune, Maharashtra, India",1 week ago
Senior Auditor (Data Analytics),BNY Mellon,"Pune, Maharashtra, India",1 month ago
Tech PMO(JR00099062),Bajaj Finserv,"Pune, Maharashtra, India",1 month ago
PureSoftware - Data Engineer - ETL/Azure Data Factory,PureSoftware Ltd,"Pune, Maharashtra, India",2 months ago
Salesforce Engineer,Equifax,"Pune, Maharashtra, India",2 days ago
Manager/Senior Manager - Modelling - BFSI,Noble House Consulting,"Pune, Maharashtra, India",1 month ago
Candidates for Data Engineering Lead,Xoriant Solutions Pvt Ltd,"Pune, Maharashtra, India",3 weeks ago
Adobe Analytics,"Alphacom, LLC","Pune, Maharashtra, India",1 month ago
Data Engineer - ETL/DataLake,Hectorandstreak,"Pune, Maharashtra, India",1 month ago
Lead Data Scientist,Qualys,"Pune, Maharashtra, India",2 weeks ago
CIEL/SEL/20947: Machine Learning,CIEL HR,"Pune, Maharashtra, India",2 days ago
Application Architect: Data Platforms,IBM,"Pune, Maharashtra, India",1 day ago
Senior Finance Analyst,BMC Software,"Pune, Maharashtra, India",2 weeks ago
Informatica PowerCenter Architect,Jobs for Humanity,"Pune, Maharashtra, India",1 month ago
Data Scientist,IBST Private Limited,"Pune, Maharashtra, India",1 month ago
Lead Data Engineer for Leading US health-tech company,TalentOne Consulting Pvt Ltd,"Pune, Maharashtra, India",1 month ago
Enterprise Data Developer,Barclays,"Pune, Maharashtra, India",1 month ago
C11 - Big Data Developer – Pune (R23014448),Citi,"Pune, Maharashtra, India",2 weeks ago
SRE Engineer - Design Mission Critical Cloud Infrastructure for Global Enterprises,Mindstix Software Labs,"Pune, Maharashtra, India",1 week ago
Celonis Data Engineer,Nustar Technologies India Private Limited,"Pune, Maharashtra, India",1 month ago
Sr. BigData Developer,Barclays,"Pune, Maharashtra, India",3 weeks ago
Lead - Machine Learning,Zycus,"Pune, Maharashtra, India",2 months ago
