Role,Company Name,Location,Post Date
MSBI-SSAS,LTIMindtree,"Pune, Maharashtra, India",2 weeks ago
AI/ML Engineer,AdElement,"Pune, Maharashtra, India",1 month ago
"Sr. Data Miner, Global Analytics",Concentrix,"Pune, Maharashtra, India",1 week ago
Senior Consultant - Data Science,PharmaACE,"Pune, Maharashtra, India",1 day ago
Data Engineer,Pracemo Global Solutions,"Pune, Maharashtra, India",1 month ago
BI Developer,SA Technologies Inc.,"Pune, Maharashtra, India",1 day ago
"DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Pune, Maharashtra, India",1 month ago
Data Analyst - Dashboards/Power BI,KRG Technologies India Pvt Ltd,"Pune, Maharashtra, India",5 hours ago
Celonis Data Engineer,NuStar Technologies,Pune/Pimpri-Chinchwad Area,3 months ago
Data Scientist Jr. & Sr.,thyssenkrupp,"Pune, Maharashtra, India",2 months ago
Data Engineer,IntegriChain,"Pune, Maharashtra, India",1 month ago
Data Engineer(Proclink),Sigma HR Solutions,"Pune, Maharashtra, India",3 weeks ago
Senior Vice President - Internal Audit,Apex Group Ltd (India Branch),"Pune, Maharashtra, India",1 day ago
Business Data Analyst (Python + SQL) | Contractual | Pune,Michael Page,"Pune, Maharashtra, India",1 month ago
SAP Data Analyst,Cortex Consultants LLC,Pune/Pimpri-Chinchwad Area,2 months ago
Lead Generation Executive,Excelsior Research,"Pune, Maharashtra, India",4 days ago
Data Migration Lead,ESSENWARE PRIVATE LIMITED,Pune/Pimpri-Chinchwad Area,1 week ago
Product Analyst,DeepIntent,"Pune, Maharashtra, India",2 weeks ago
Machine Learning part time job/internship at Pune in SkillBit,Skillbit,"Pune, Maharashtra, India",8 hours ago
Python Lead-Data engineer,nHRMS - n Human Resources & Management Systems,Pune/Pimpri-Chinchwad Area,1 week ago
"Associate Director, Data Strategy & Rapid Analytics",MSD,"Pune, Maharashtra, India",3 weeks ago
Opening for Lead Generation and Telemarketing Executive,Erfolg,"Pune, Maharashtra, India",3 weeks ago
Deputy Manager_Assistant Lead_Data Science_GBIS-PUNe,_VOIS,"Pune, Maharashtra, India",2 months ago
Data Engineer,Randstad India,Pune/Pimpri-Chinchwad Area,2 months ago
Data Engineer - Data Analytics/Power BI,Taliun,"Pune, Maharashtra, India",2 months ago
Big Data Engineer,Tridiagonal Solutions,"Pune, Maharashtra, India",1 month ago
Opportunity with Atos for Azure Data Brick,Atos,"Pune, Maharashtra, India",4 days ago
Data Research Analyst,fluidonomics Solutions LLP,"Pune, Maharashtra, India",1 month ago
Data Science - Lead Data Scientist,Jet2 Travel Technologies Pvt Ltd.,"Pune, Maharashtra, India",1 month ago
Associate Analyst - BI,Eaton,"Pune, Maharashtra, India",3 days ago
EY - Data Scientist - R/SQL/Python,Ernst and Young Services,"Pune, Maharashtra, India",1 month ago
Data Analyst Trainer,ExcelR Solutions,"Pune, Maharashtra, India",1 week ago
Senior Data Quality Analyst,bp,"Pune, Maharashtra, India",2 days ago
Power BI Developer,CIEL HR,Pune/Pimpri-Chinchwad Area,4 months ago
Data Engineer,Peoplefy,"Pune, Maharashtra, India",2 weeks ago
Lead - Data Science - Financial Services Group,Shine.com,"Pune, Maharashtra, India",1 month ago
Manager - Data Science - Utility/Energy Sector,ARA Resources Pvt. Ltd.,"Pune, Maharashtra, India",1 month ago
"Data Analyst , Senior Data Analyst , Data Analyst - Tech Lead",AppSoft Solutions,"Pune, Maharashtra, India",2 months ago
Associate Data Scientist,Cummins Inc.,"Pune, Maharashtra, India",1 week ago
Management Trainee - Machine Learning AND Deep Learning AND Python experience mandatory - For Pune only,CIEL HR,Pune/Pimpri-Chinchwad Area,3 months ago
Data Engineer,Randstad India,Pune/Pimpri-Chinchwad Area,2 months ago
Data Analyst- Finance,Bentley Systems,"Pune, Maharashtra, India",1 week ago
Big Data,Ampstek,"Pune, Maharashtra, India",1 month ago
Data Analyst,Reality Premedia Services Pvt Ltd,"Pune, Maharashtra, India",1 month ago
Data Engineer,PlusPointHire - IT Recruitment,"Pune, Maharashtra, India",1 day ago
Data Quality Analyst,Cummins Inc.,"Pune, Maharashtra, India",1 week ago
Vice President Internal Audit,Apex Group Ltd (India Branch),"Pune, Maharashtra, India",1 day ago
Data Engineer / Database Engineer,CIEL HR,"Pune, Maharashtra, India",1 month ago
Workday Senior Operation Data Analyst - AVP,Apex Group Ltd (India Branch),"Pune, Maharashtra, India",1 week ago
Data Analyst (Snowflake)_Kripa_Accion labs,CodersBrain,"Pune, Maharashtra, India",4 months ago
Data Analyst - SQL/Data Modeling,Boost Tech,"Pune, Maharashtra, India",2 months ago
Data Analyst - SQL/Data Modeling,Boost Tech,"Pune, Maharashtra, India",2 months ago
Data Analyst,JLL,"Pune, Maharashtra, India",1 month ago
AWS- Data Engineer,Pracemo Global Solutions,"Pune, Maharashtra, India",1 week ago
Data Analyst (python and SAS) | Contractual | Pune,Michael Page,"Pune, Maharashtra, India",2 months ago
Analyst Knowledge Services,Infosys BPM,"Pune, Maharashtra, India",3 days ago
Technical Lead – Innovation Garage,CIEL HR,Pune/Pimpri-Chinchwad Area,3 months ago
Data Engineer (Third Party & Integration),KNOREX,"Pune, Maharashtra, India",2 months ago
Data Engineer,ScaleneWorks People Solutions LLP,"Pune, Maharashtra, India",2 days ago
Data Modeler,IDESLABS PRIVATE LIMITED,Pune/Pimpri-Chinchwad Area,4 months ago
Database Architect (India),Mainline Information Systems,"Pune, Maharashtra, India",1 month ago
Machine Learning Engineer,Aikon Labs Private Limited,"Pune, Maharashtra, India",1 month ago
SQL Developer,UnboundB2B,"Pune, Maharashtra, India",3 months ago
BI Developer,Mindpool Technologies Inc,"Pune, Maharashtra, India",2 months ago
Interesting Job Opportunity: Python Data Engineer - Web scraping,Deqode,Pune/Pimpri-Chinchwad Area,2 months ago
power bi,Diverse Lynx,"Pune, Maharashtra, India",2 days ago
Data Engineer,dataeaze systems,"Pune, Maharashtra, India",2 months ago
Opening- Analyst/Sr. Analyst - Data Scientist,TopGear Consultants Pvt Ltd,"Pune, Maharashtra, India",1 month ago
Data Engineer,Springer Nature Technology and Publishing Solutions,"Pune, Maharashtra, India",1 week ago
"Executive Manager, Data Science",BNY Mellon,"Pune, Maharashtra, India",1 month ago
Data Engineer_Publicis Resources,CodersBrain,"Pune, Maharashtra, India",2 months ago
Data Engineer,Tech-Soul Technologies,"Pune, Maharashtra, India",1 month ago
Manager_Senior Data Analyst_D&A_Pune,_VOIS,"Pune, Maharashtra, India",3 days ago
Data Scientist,Peak,"Pune, Maharashtra, India",1 month ago
Data Engineer - Sustainability,Emerson,"Pune, Maharashtra, India",1 week ago
Data Engineer,Best Infosystems Ltd.,"Pune, Maharashtra, India",1 week ago
Data Engineer - Python,SKILLETY,"Pune, Maharashtra, India",2 months ago
Data Scientist,PERSOLKELLY,"Pune, Maharashtra, India",1 month ago
Associate Team Lead,ESSENWARE PRIVATE LIMITED,Pune/Pimpri-Chinchwad Area,2 months ago
ETL Testing,Randstad India,Pune/Pimpri-Chinchwad Area,3 weeks ago
Celonis Consultant,ESSENWARE PRIVATE LIMITED,Pune/Pimpri-Chinchwad Area,2 months ago
Data Engineer,Barclays,"Pune, Maharashtra, India",2 months ago
Data Engineer_Jessica,CodersBrain,"Pune, Maharashtra, India",2 months ago
Database Engineer,W3 Technology Services,"Pune, Maharashtra, India",3 months ago
Lead Generation Executive,Vertedge Business Solutions LLP,"Pune, Maharashtra, India",2 months ago
Lead Generation Executive,Flexisales Marketing Pvt. Ltd.,"Pune, Maharashtra, India",2 months ago
Analytics,GALLAGHER SERVICE CENTER LLP,"Pune, Maharashtra, India",1 month ago
Salesforce Analytics,Jade Global,"Pune, Maharashtra, India",1 day ago
Risk Analytics Role - Model Development - Financial Captive,Maven Workforce Inc.,"Pune, Maharashtra, India",1 month ago
Data Analyst,Saama,"Pune, Maharashtra, India",2 months ago
Lead Generation Executive,HYRE,"Pune, Maharashtra, India",1 month ago
Lead Generation Executive,Excelsior Research,"Pune, Maharashtra, India",2 months ago
Data Engineer - Qlikview/R/Python,HuQuo,"Pune, Maharashtra, India",3 weeks ago
Lead Generation Executive,Excelsior Research,"Pune, Maharashtra, India",2 months ago
Data Scientist,Pivotchain Solutions,"Pune, Maharashtra, India",2 months ago
Data Engineer,Michelin,"Pune, Maharashtra, India",5 days ago
Data Engineer (Python),Scry AI,"Pune, Maharashtra, India",1 month ago
"Data Science, NLP, Deep Learning",IDESLABS PRIVATE LIMITED,Pune/Pimpri-Chinchwad Area,3 months ago
Data Engineer,Michelin,"Pune, Maharashtra, India",6 days ago
Data Solutioning Lead/Manager,QiO Technologies,"Pune, Maharashtra, India",1 month ago
Lead Generation Executive,Excelsior Research,"Pune, Maharashtra, India",2 months ago
NetSuite Business/Data Analyst,"Stralynn Consulting Services, Inc","Pune, Maharashtra, India",6 days ago
Associate Consultant Commercial Analytics,Anervea,"Pune, Maharashtra, India",2 weeks ago
Lead Generation Executive,Excelsior Research,"Pune, Maharashtra, India",2 months ago
Data Engineering - Lead Data Engineer,Jet2 Travel Technologies Pvt Ltd.,"Pune, Maharashtra, India",1 month ago
Lead Generation Executive,Recroot.io,"Pune, Maharashtra, India",16 hours ago
Business Analyst - Data Visualization,ARA Resources Pvt. Ltd.,"Pune, Maharashtra, India",3 weeks ago
Data Scientist Job Opening for Fresher and Experience,Garima Interprises,"Pune, Maharashtra, India",15 hours ago
Big Data Engineer,Applycup Hiring Solutions,"Pune, Maharashtra, India",1 month ago
Advarisk - Data Engineer - Python/ETL,AdvaRisk,"Pune, Maharashtra, India",4 weeks ago
Commercial Executive,Innoplexus Consulting Services Pvt Ltd,"Pune, Maharashtra, India",1 day ago
Data Engineer/Sr. Data Engineer/Lead Data Engineer - Data Axle,New Era India,"Pune, Maharashtra, India",2 months ago
Lead Generation Executive,Demand Infotech Solutions,"Pune, Maharashtra, India",2 months ago
Azure Data Engineer,Optimum Data Analytics,"Pune, Maharashtra, India",2 weeks ago
Data Engineer,Applycup Hiring Solutions,"Pune, Maharashtra, India",1 month ago
Financial Advisory - Forensic & Dispute Services - DM - Process Mining,Deloitte Asia Pacific,"Pune, Maharashtra, India",1 week ago
Machine Learning Tech Lead,Yo Hr Consultancy,"Pune, Maharashtra, India",1 week ago
Assistant Vice President- Data Analytics Trade Surveillance,Citi,"Pune, Maharashtra, India",3 days ago
Azure Data Engineer,Victrix Systems & Labs,"Pune, Maharashtra, India",2 weeks ago
Senior Lead Data Engineer,Gensol Engineering - Electric Vehicles Division,"Pune, Maharashtra, India",2 weeks ago
Azure Data Engineer,Abzooba,"Pune, Maharashtra, India",4 days ago
AWS Data Engineer,CodersBrain,"Pune, Maharashtra, India",2 weeks ago
Hiring For Data Analyst,Star Future Solution,"Pune, Maharashtra, India",4 days ago
Power BI Developer,Optimum Data Analytics,"Pune, Maharashtra, India",1 week ago
CIEL/SEL/23651: Data Scientist,CIEL HR,"Pune, Maharashtra, India",2 days ago
Interesting Job Opportunity: Data Architect/Data Modeler Role - KPO,HuQuo,"Pune, Maharashtra, India",1 week ago
Data Engineer_Swathi_Quess Corp,CodersBrain,"Pune, Maharashtra, India",2 months ago
Lead Data Analyst - VP,Citi,"Pune, Maharashtra, India",1 week ago
"SENIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Pune, Maharashtra, India",1 month ago
International Lead Generation Executive,Axonator Inc,"Pune, Maharashtra, India",2 months ago
Assistant Manager_Senior Engineer_Data Analyst-DAIS_PUNE,_VOIS,"Pune, Maharashtra, India",2 months ago
Regional Lead - DT Data and Analytics,Air Products India,"Pune, Maharashtra, India",2 weeks ago
Data Engineer- ETL/Python,"Glan Management Consultancy- Career, Jobs, Hiring","Pune, Maharashtra, India",1 month ago
Data Engineer,3RI Technologies Pvt. Ltd.,"Pune, Maharashtra, India",1 month ago
Data Governance Senior Analyst_Deputy Manager_Assistant Lead_Bangalore,_VOIS,"Pune, Maharashtra, India",1 month ago
Senior Data Quality Analyst,origin consulting,"Pune, Maharashtra, India",2 weeks ago
Business Analyst,Inteliment,"Pune, Maharashtra, India",2 months ago
Databricks_Pool Hiring,Diverse Lynx,"Pune, Maharashtra, India",2 days ago
CIEL/SEL/23614: Data Scientist,CIEL HR,"Pune, Maharashtra, India",2 days ago
